"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 08 11:03:42 GMT+04:00 2026","Thu Jan 08 11:03:48 GMT+04:00 2026","5901","","Тестирование авторизации пользователя","","tests.LoginTest","testLoginFromPersonalAccount","Вход через кнопку 'Личный кабинет'","Проверка входа пользователя через кнопку личного кабинета в хедере"
"passed","Thu Jan 08 11:03:40 GMT+04:00 2026","Thu Jan 08 11:03:42 GMT+04:00 2026","1820","","Тестирование раздела 'Конструктор'","","tests.ConstructorTest","testSwitchToFillingsSection","Проверка перехода к разделу 'Начинки'","Тест проверяет, что при клике на раздел 'Начинки' он становится активным"
"passed","Thu Jan 08 11:03:36 GMT+04:00 2026","Thu Jan 08 11:03:39 GMT+04:00 2026","2740","","Тестирование раздела 'Конструктор'","","tests.ConstructorTest","testSwitchBackToBunsSection","Проверка возврата к разделу 'Булки'","Тест проверяет возврат к разделу 'Булки' после перехода к другому разделу"
"passed","Thu Jan 08 11:03:48 GMT+04:00 2026","Thu Jan 08 11:03:51 GMT+04:00 2026","3032","","Тестирование авторизации пользователя","","tests.LoginTest","testLoginFromRegistrationPage","Вход через кнопку в форме регистрации","Проверка входа пользователя со страницы регистрации по ссылке 'Войти'"
"passed","Thu Jan 08 11:03:39 GMT+04:00 2026","Thu Jan 08 11:03:40 GMT+04:00 2026","1596","","Тестирование раздела 'Конструктор'","","tests.ConstructorTest","testSwitchToSaucesSection","Проверка перехода к разделу 'Соусы'","Тест проверяет, что при клике на раздел 'Соусы' он становится активным"
"passed","Thu Jan 08 11:03:51 GMT+04:00 2026","Thu Jan 08 11:03:54 GMT+04:00 2026","2881","","Тестирование авторизации пользователя","","tests.LoginTest","testLoginFromMainPage","Вход через кнопку 'Войти в аккаунт' на главной","Проверка входа пользователя через основную кнопку входа на главной странице"
"passed","Thu Jan 08 11:03:57 GMT+04:00 2026","Thu Jan 08 11:04:00 GMT+04:00 2026","2995","","Тестирование регистрации пользователя","","tests.RegistrationTest","testSuccessfulRegistration","Успешная регистрация пользователя","Проверка успешной регистрации нового пользователя с валидными данными"
"passed","Thu Jan 08 11:04:00 GMT+04:00 2026","Thu Jan 08 11:04:02 GMT+04:00 2026","1941","","Тестирование регистрации пользователя","","tests.RegistrationTest","testRegistrationWithShortPassword","Регистрация с коротким паролем","Проверка отображения ошибки при регистрации с паролем менее 6 символов"
"passed","Thu Jan 08 11:03:54 GMT+04:00 2026","Thu Jan 08 11:03:57 GMT+04:00 2026","2954","","Тестирование авторизации пользователя","","tests.LoginTest","testLoginFromPasswordRecoveryPage","Вход через кнопку в форме восстановления пароля","Проверка входа пользователя со страницы восстановления пароля по ссылке 'Войти'"
